Team,Season,PlayerName,DateOfBirth,Position,ShirtNumber,Nationality,CurrentClub,ClubLeague,Height,Weight,PreferredFoot
Croatia,2022,I. Matanovic,N/A,FW,20.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,P. Musa,N/A,FW,26.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,M. Pasalic,N/A,FW,24.0,Croatia,Club Data,League Data,180,75,Right
Croatia,2022,I. Perisic,N/A,MF,14.0,Croatia,Club Data,League Data,180,75,Right
Brazil,2022,Alisson Becker,N/A,GK,1.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Ederson,N/A,GK,23.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Weverton,N/A,GK,12.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Alex Sandro,N/A,DF,6.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Bremer,N/A,DF,14.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Gabriel Magalhães,N/A,DF,3.0,Brazil,Club Data,League Data,180,75,Left
Brazil,2022,Ibañez,N/A,DF,24.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Léo Pereira,N/A,DF,15.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Marquinhos,N/A,DF,4.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Douglas Santos,N/A,DF,16.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Wesley,N/A,DF,2.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Danilo,N/A,DF,13.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Bruno Guimarães,N/A,MF,8.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Casemiro,N/A,MF,5.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Fabinho,N/A,MF,17.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Lucas Paquetá,N/A,MF,20.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Danilo Santos,N/A,MF,18.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Matheus Cunha,N/A,FW,9.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Endrick,N/A,FW,19.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Luiz Henrique,N/A,MF,21.0,Brazil,Club Data,League Data,180,75,Left
Brazil,2022,Gabriel Martinelli,N/A,FW,22.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Neymar,N/A,FW,10.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Raphinha,N/A,MF,11.0,Brazil,Club Data,League Data,180,75,Left
Brazil,2022,Rayan,N/A,FW,26.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Thiago,N/A,FW,25.0,Brazil,Club Data,League Data,180,75,Right
Brazil,2022,Vinícius Júnior,N/A,MF,7.0,Brazil,Club Data,League Data,180,75,Left
Uruguay,2022,S. Mele,N/A,GK,12.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,F. Muslera,N/A,GK,23.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,S. Rochet,N/A,GK,1.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,R. Araújo,N/A,DF,4.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,S. Bueno,N/A,DF,24.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,S. Cáceres,N/A,DF,3.0,Uruguay,Club Data,League Data,180,75,Left
Uruguay,2022,J. Giménez,N/A,DF,2.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,M. Olivera,N/A,DF,16.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,G. Varela,N/A,DF,13.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,M. Viña,N/A,DF,17.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,R. Bentancur,N/A,MF,6.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,E. Martínez,N/A,MF,15.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,J. Sanabria,N/A,MF,25.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,M. Ugarte,N/A,MF,5.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,F. Valverde,N/A,MF,8.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,R. Zalazar,N/A,MF,26.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,G. de Arrascaeta,N/A,MF,10.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,N. de la Cruz,N/A,MF,7.0,Uruguay,Club Data,League Data,180,75,Left
Uruguay,2022,M. Araújo,N/A,MF,20.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,A. Canobbio,N/A,MF,14.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,R. Aguirre,N/A,FW,19.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,J. Piquerez,N/A,FW,22.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,D. Núñez,N/A,FW,9.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,F. Pellistri,N/A,FW,11.0,Uruguay,Club Data,League Data,180,75,Left
Uruguay,2022,B. Rodríguez,N/A,FW,18.0,Uruguay,Club Data,League Data,180,75,Right
Uruguay,2022,F. Viñas,N/A,FW,21.0,Uruguay,Club Data,League Data,180,75,Left
Spain,2022,Joan García,N/A,GK,13.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,David Raya,N/A,GK,1.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Unai Simón,N/A,GK,23.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Pau Cubarsí Paredes,N/A,DF,22.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Marc Cucurella,N/A,DF,24.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Eric García,N/A,DF,4.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Álex Grimaldo,N/A,DF,3.0,Spain,Club Data,League Data,180,75,Left
Spain,2022,Aymeric Laporte,N/A,DF,14.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Marcos Llorente,N/A,MF,5.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Pedro Porro,N/A,DF,12.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Marc Pubill,N/A,DF,2.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Gavi,N/A,MF,9.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Mikel Merino,N/A,MF,6.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Pedri,N/A,MF,20.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Rodri,N/A,MF,16.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Fabián Ruiz,N/A,MF,8.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Martín Zubimendi,N/A,MF,18.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Álex Baena,N/A,MF,15.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Dani Olmo,N/A,MF,10.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Borja Iglesias,N/A,FW,26.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Lamine Yamal,N/A,FW,19.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Víctor Muñoz,N/A,FW,25.0,Spain,Club Data,League Data,180,75,Right
Spain,2022,Mikel Oyarzabal,N/A,FW,21.0,Spain,Club Data,League Data,180,75,Left
Spain,2022,Yeremy Pino,N/A,MF,11.0,Spain,Club Data,League Data,180,75,Left
Spain,2022,Ferran Torres,N/A,MF,7.0,Spain,Club Data,League Data,180,75,Left
Spain,2022,Nico Williams,N/A,FW,17.0,Spain,Club Data,League Data,180,75,Right
England,2022,D. Henderson,N/A,GK,13.0,England,Club Data,League Data,180,75,Right
England,2022,J. Pickford,N/A,GK,1.0,England,Club Data,League Data,180,75,Right
England,2022,J. Trafford,N/A,GK,23.0,England,Club Data,League Data,180,75,Right
England,2022,D. Burn,N/A,DF,15.0,England,Club Data,League Data,180,75,Right
England,2022,M. Guéhi,N/A,DF,6.0,England,Club Data,League Data,180,75,Right
England,2022,R. James,N/A,DF,24.0,England,Club Data,League Data,180,75,Right
England,2022,E. Konsa,N/A,DF,2.0,England,Club Data,League Data,180,75,Right
England,2022,T. Livramento,N/A,DF,12.0,England,Club Data,League Data,180,75,Right
England,2022,N. Oreilly,N/A,DF,3.0,England,Club Data,League Data,180,75,Left
England,2022,J. Quansah,N/A,DF,26.0,England,Club Data,League Data,180,75,Right
England,2022,D. Spence,N/A,DF,25.0,England,Club Data,League Data,180,75,Right
England,2022,J. Stones,N/A,DF,5.0,England,Club Data,League Data,180,75,Right
England,2022,E. Anderson,N/A,MF,8.0,England,Club Data,League Data,180,75,Right
England,2022,J. Bellingham,N/A,MF,10.0,England,Club Data,League Data,180,75,Right
England,2022,E. Eze,N/A,MF,21.0,England,Club Data,League Data,180,75,Left
England,2022,J. Henderson,N/A,MF,14.0,England,Club Data,League Data,180,75,Right
England,2022,K. Mainoo,N/A,MF,16.0,England,Club Data,League Data,180,75,Right
England,2022,D. Rice,N/A,MF,4.0,England,Club Data,League Data,180,75,Right
England,2022,M. Rogers,N/A,MF,17.0,England,Club Data,League Data,180,75,Right
England,2022,A. Gordon,N/A,FW,18.0,England,Club Data,League Data,180,75,Right
England,2022,H. Kane,N/A,FW,9.0,England,Club Data,League Data,180,75,Right
England,2022,N. Madueke,N/A,FW,20.0,England,Club Data,League Data,180,75,Right
England,2022,M. Rashford,N/A,MF,11.0,England,Club Data,League Data,180,75,Left
England,2022,B. Saka,N/A,FW,7.0,England,Club Data,League Data,180,75,Left
England,2022,I. Toney,N/A,FW,22.0,England,Club Data,League Data,180,75,Right
England,2022,O. Watkins,N/A,MF,19.0,England,Club Data,League Data,180,75,Right
Japan,2022,T. Hayakawa,N/A,GK,23.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,K. Osako,N/A,GK,12.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,Z. Suzuki,N/A,GK,1.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,K. Itakura,N/A,DF,4.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,H. Ito,N/A,DF,21.0,Japan,Club Data,League Data,180,75,Left
Japan,2022,Y. Nagatomo,N/A,DF,5.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,A. Seko,N/A,DF,20.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,Y. Sugawara,N/A,DF,2.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,J. Suzuki,N/A,DF,25.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,S. Taniguchi,N/A,DF,3.0,Japan,Club Data,League Data,180,75,Left
Japan,2022,T. Tomiyasu,N/A,DF,15.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,T. Watanabe,N/A,DF,16.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,R. Doan,N/A,MF,10.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,W. Endo,N/A,MF,6.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,D. Kamada,N/A,MF,15.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,K. Sano,N/A,MF,24.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,A. Tanaka,N/A,MF,7.0,Japan,Club Data,League Data,180,75,Left
Japan,2022,J. Ito,N/A,FW,14.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,T. Kubo,N/A,FW,8.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,D. Maeda,N/A,FW,11.0,Japan,Club Data,League Data,180,75,Left
Japan,2022,Keito Nakamura,N/A,MF,13.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,Y. Suzuki,N/A,MF,17.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,K. Goto,N/A,FW,9.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,Koki Ogawa,N/A,FW,19.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,K. Shiogai,N/A,FW,26.0,Japan,Club Data,League Data,180,75,Right
Japan,2022,A. Ueda,N/A,FW,18.0,Japan,Club Data,League Data,180,75,Right
Senegal,2022,M. Diaw,N/A,GK,23.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,Y. Diouf,N/A,GK,1.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,É. Mendy,N/A,GK,16.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,E. Diouf,N/A,DF,25.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,I. Jakobs,N/A,MF,14.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,K. Koulibaly,N/A,DF,3.0,Senegal,Club Data,League Data,180,75,Left
Senegal,2022,A. Mendy,N/A,DF,24.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,M. Niakhaté,N/A,DF,19.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,M. Sarr,N/A,DF,2.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,A. Seck,N/A,DF,4.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,K. Diatta,N/A,DF,15.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,L. Camara,N/A,MF,8.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,P. Ciss,N/A,MF,6.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,H. Diarra,N/A,FW,21.0,Senegal,Club Data,League Data,180,75,Left
Senegal,2022,I. Gueye,N/A,MF,5.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,P. Gueye,N/A,MF,26.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,Bara Ndiaye,N/A,MF,27.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,P. Sarr,N/A,MF,17.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,Assane Diao,N/A,FW,7.0,Senegal,Club Data,League Data,180,75,Left
Senegal,2022,B. Dieng,N/A,FW,9.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,N. Jackson,N/A,FW,11.0,Senegal,Club Data,League Data,180,75,Left
Senegal,2022,S. Mané,N/A,FW,10.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,I. Mbaye,N/A,FW,27.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,C. Ndiaye,N/A,FW,12.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,I. Ndiaye,N/A,MF,13.0,Senegal,Club Data,League Data,180,75,Right
Senegal,2022,I. Sarr,N/A,FW,18.0,Senegal,Club Data,League Data,180,75,Right
Serbia,2022,V. Ilić,N/A,GK,12.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,L. LijeskiÄ,N/A,GK,23.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,V. Milinković-Savić,N/A,GK,23.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,Đ. Petrović,N/A,GK,21.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,P. Rajković,N/A,GK,1.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,F. Stanković,N/A,GK,1.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,S. Bukinac,N/A,DF,25.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,S. Eraković,N/A,DF,16.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,N. Milenković,N/A,DF,4.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,M. Milikic,N/A,DF,13.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,O. MimoviÄ,N/A,DF,2.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,K. Nedeljković,N/A,DF,17.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,S. Pavlović,N/A,DF,3.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,P. Petrović,N/A,DF,3.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,N. Simić,N/A,DF,4.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,A. Terzić,N/A,DF,22.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,V. Dragojević,N/A,MF,6.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,M. Gaćinović,N/A,MF,21.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,N. Gudelj,N/A,MF,6.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,F. Kostić,N/A,MF,11.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,V. Kostov,N/A,MF,10.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,S. Lukić,N/A,MF,10.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,A. MaksimoviÄ,N/A,MF,20.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,S. Milinković-Savić,N/A,MF,20.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,N. Petrović,N/A,MF,5.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,L. Samardžić,N/A,MF,20.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,P. Stanić,N/A,MF,24.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,A. Stanković,N/A,MF,10.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,A. Živković,N/A,MF,14.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,D. Zukić,N/A,MF,8.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,V. Birmančević,N/A,MF,7.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,M. Ivanović,N/A,FW,19.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,D. Joveljić,N/A,FW,19.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,L. Jović,N/A,FW,8.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,A. Mitrović,N/A,FW,9.0,Serbia,Club Data,League Data,180,75,Right
Serbia,2022,L. Ranđelović,N/A,MF,11.0,Serbia,Club Data,League Data,180,75,Left
Serbia,2022,P. Ratkov,N/A,FW,9.0,Serbia,Club Data,League Data,180,75,Right
Switzerland,2022,M. Keller,N/A,GK,21.0,Switzerland,Club Data,League Data,180,75,Left
Switzerland,2022,G. Kobel,N/A,GK,1.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,Y. Mvogo,N/A,GK,12.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,M. Akanji,N/A,DF,5.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,A. Amenda,N/A,DF,24.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,E. Cömert,N/A,DF,18.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,N. Elvedi,N/A,DF,4.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,L. Jaquez,N/A,DF,25.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,M. Muheim,N/A,DF,2.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,R. Rodríguez,N/A,DF,13.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,S. Widmer,N/A,DF,3.0,Switzerland,Club Data,League Data,180,75,Left
Switzerland,2022,M. Aebischer,N/A,MF,20.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,R. Freuler,N/A,MF,8.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,A. Jashari,N/A,MF,14.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,D. Sow,N/A,MF,15.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,G. Xhaka,N/A,MF,10.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,D. Zakaria,N/A,MF,6.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,C. Fassnacht,N/A,MF,16.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,C. Itten,N/A,FW,26.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,F. Rieder,N/A,MF,22.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,R. Vargas,N/A,FW,17.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,Z. Amdouni,N/A,FW,23.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,B. Embolo,N/A,FW,7.0,Switzerland,Club Data,League Data,180,75,Left
Switzerland,2022,J. Manzambi,N/A,FW,9.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,N. Okafor,N/A,FW,19.0,Switzerland,Club Data,League Data,180,75,Right
Switzerland,2022,D. Ndoye,N/A,MF,11.0,Switzerland,Club Data,League Data,180,75,Left
Germany,2022,O. Baumann,N/A,GK,12.0,Germany,Club Data,League Data,180,75,Right
